race_id,year,round,track,total_laps,pit_loss_sec,lap_length_km
2024_01_Bahrain_Grand_Prix,2024,1,Bahrain Grand Prix,57.0,,
2024_02_Saudi_Arabian_Grand_Prix,2024,2,Saudi Arabian Grand Prix,50.0,,
2024_03_Australian_Grand_Prix,2024,3,Australian Grand Prix,58.0,,
2024_04_Japanese_Grand_Prix,2024,4,Japanese Grand Prix,53.0,,
2024_05_Chinese_Grand_Prix,2024,5,Chinese Grand Prix,56.0,,
2024_06_Miami_Grand_Prix,2024,6,Miami Grand Prix,57.0,,
2024_07_Emilia_Romagna_Grand_Prix,2024,7,Emilia Romagna Grand Prix,63.0,,
2024_08_Monaco_Grand_Prix,2024,8,Monaco Grand Prix,78.0,,
2024_09_Canadian_Grand_Prix,2024,9,Canadian Grand Prix,70.0,,
2024_10_Spanish_Grand_Prix,2024,10,Spanish Grand Prix,66.0,,
2024_11_Austrian_Grand_Prix,2024,11,Austrian Grand Prix,71.0,,
2024_12_British_Grand_Prix,2024,12,British Grand Prix,52.0,,
2024_13_Hungarian_Grand_Prix,2024,13,Hungarian Grand Prix,70.0,,
2024_14_Belgian_Grand_Prix,2024,14,Belgian Grand Prix,44.0,,
2024_15_Dutch_Grand_Prix,2024,15,Dutch Grand Prix,72.0,,
2024_16_Italian_Grand_Prix,2024,16,Italian Grand Prix,53.0,,
2024_17_Azerbaijan_Grand_Prix,2024,17,Azerbaijan Grand Prix,51.0,,
2024_18_Singapore_Grand_Prix,2024,18,Singapore Grand Prix,62.0,,
2024_19_United_States_Grand_Prix,2024,19,United States Grand Prix,56.0,,
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,71.0,,
2024_21_São_Paulo_Grand_Prix,2024,21,São Paulo Grand Prix,69.0,,
2024_22_Las_Vegas_Grand_Prix,2024,22,Las Vegas Grand Prix,50.0,,
2024_23_Qatar_Grand_Prix,2024,23,Qatar Grand Prix,57.0,,
2024_24_Abu_Dhabi_Grand_Prix,2024,24,Abu Dhabi Grand Prix,58.0,,
