track,track_te_value
Abu Dhabi Grand Prix,93.86755400479696
Australian Grand Prix,94.15344107798435
Austrian Grand Prix,94.69066562218143
Azerbaijan Grand Prix,93.04650266432306
Bahrain Grand Prix,93.56812747908828
Belgian Grand Prix,93.04384093310884
British Grand Prix,93.61877878895768
Canadian Grand Prix,93.85274215103775
Chinese Grand Prix,93.13085115292623
Dutch Grand Prix,94.48880963554132
Emilia Romagna Grand Prix,94.23406624776847
Hungarian Grand Prix,94.12714659288439
Italian Grand Prix,94.0991810556071
Japanese Grand Prix,93.48070018252034
Las Vegas Grand Prix,93.49322929332638
Mexico City Grand Prix,94.06020139964716
Miami Grand Prix,93.65511536047471
Monaco Grand Prix,92.98258282049362
Qatar Grand Prix,93.67066819775582
Saudi Arabian Grand Prix,93.6587738511184
Singapore Grand Prix,93.50741638415882
Spanish Grand Prix,94.28681542499321
São Paulo Grand Prix,93.95753958136089
United States Grand Prix,93.39629036897182
